projectName,startDate,CID,PID,finishDate
Max & Erma's Restaurants,08/11/1997,35326287,727876676,19/01/2026
National Heritage Academies,11/07/2019,985240317,261395459,15/12/2023
Baesch Computer Consulting,11/07/1997,12222400,508941607,15/10/2027
CHIPS Solutions,25/06/1980,352363571,151078553,09/02/2024
eCopy,07/09/2014,330462630,565292066,29/06/2022
Maverick Construction,24/06/1992,722843617,978133633,27/02/2025
Tarragon Realty,09/08/2016,394420285,659812486,20/03/2027
Micro Solutions Enterprises,14/07/1982,418654761,489855874,05/09/2020
Valley Oak Systems,11/11/1998,406681226,822365722,25/02/2027
Think Tank Systems,03/11/2010,522308984,274050518,11/03/2025
Technology Resource Center,04/11/1997,406448786,42686463,17/01/2027
Banfe Products,03/05/2016,405360198,447495307,09/09/2027
Marathon Heater,18/04/1999,387778222,635556987,04/06/2028
One Source Printing,14/01/1988,649656289,421500532,12/08/2026
Kimberly-Clark Corp.,17/05/2010,550139435,646729867,14/08/2025
Hi-Tech Pharmacal,18/09/1991,522959879,77248896,24/01/2027
Trainersoft,10/10/1990,426215729,112705341,25/07/2024
Market-Based Solutions,12/09/2014,842633580,337672603,28/12/2028
Network Hardware Resale,03/07/1992,222139263,464560784,08/07/2026
J.C. Malone Associates,20/07/2010,620088046,24455480,23/05/2027
CARBO Ceramics,09/01/1997,416807865,217744760,07/06/2020
Multimedia Live,16/03/2012,617968992,704060628,21/09/2025
ScripNet,06/12/1983,507115010,396433973,21/04/2022
Flake-Wilkerson Market Insights,07/01/1989,307073337,691571404,20/10/2020
Employer Services,24/09/2013,860660375,645052515,24/01/2023
Consultants' Choice,08/02/1994,658380069,818380249,18/02/2027
Meritage Technologies,22/09/1994,496581705,961565041,20/08/2020
Calence,27/04/2004,221831877,391281611,28/09/2025
Momentum Marketing Services,11/05/2004,327490095,569413896,06/09/2030
Tigris Consulting,27/10/1980,455713715,900149250,08/11/2030
Nexxtworks,28/03/1990,235245588,214487946,03/11/2022
Kellogg Co.,12/05/1986,343291967,363666651,31/12/2021
Adolph Coors Co.,29/10/1980,808217680,378656694,23/05/2024
Iris Software,10/09/1995,19847092,25203985,23/05/2024
Pioneer Data Systems,18/06/2016,32905246,199901791,22/04/2026
SSCI,02/01/2005,754923321,780183044,31/01/2025
Sony Corp.,02/08/1999,708658768,910478730,03/07/2025
Innovative Lighting,08/09/2018,728165923,783553054,22/05/2027
MoneyLine Lending Services,02/02/1995,29915835,874749580,06/11/2025
Diamond Group,16/09/1988,371628202,342984919,28/12/2020
Partnership in Building,24/05/1998,45001342,610890942,26/03/2023
Joe Lombardo Plumbing + Heating of Rockland,01/12/2016,265209523,652079968,02/05/2024
Pan-Pacific Retail Properties,16/09/2012,502078857,585616484,09/03/2030
Manhattan Associates,29/03/2002,728128802,949504201,16/12/2021
Portosan,01/01/2003,115930319,579967757,20/09/2024
Clover Technologies Group,04/05/1992,863193591,796032911,16/01/2026
North Highland,29/01/1997,990552688,647468561,30/07/2023
CapTech Ventures,20/06/2013,794908707,470388796,29/03/2020
Qestrel Cos.,16/03/1992,172636577,265541461,14/11/2020
White Wave,15/02/2018,561702447,733805356,02/12/2024
May Department Stores Co.,25/05/1998,595362297,338321373,29/01/2029
SimStar Internet Solutions,28/01/2001,626965388,137561552,21/08/2020
Data Warehouse,10/08/1992,730626976,301360537,05/03/2022
WestNet Learning Technologies,22/10/1991,506701650,801455592,16/03/2021
Quantum Loyalty Systems,05/11/1998,138141146,40099451,24/09/2029
EPIQ Systems,15/07/1988,871083308,32331905,09/03/2029
ATA Services,15/07/1996,471796479,241615456,09/09/2024
Conquest,15/08/2009,119397484,445067484,02/09/2020
Envision Telephony,09/04/2007,972700397,118421739,26/08/2030
PrintingForLess.com,11/10/1996,162684116,71153351,22/01/2025
Progressive Medical,26/10/1991,21139130,5200179,10/07/2021
Hewlett-Packard Co.,04/01/1980,570180704,273523327,19/04/2020
Sandy Spring Bancorp,26/07/2008,572128222,34835758,11/11/2029
Tigris Consulting,07/12/2019,487039484,427034545,02/04/2029
Coridian Technologies,08/09/2014,987968573,369122293,28/06/2021
EagleOne,07/11/2002,191832673,47071829,09/03/2024
Bigdough.com,11/02/1991,944077928,525639791,02/07/2022
Banfe Products,19/05/1987,176806030,270640056,12/07/2030
Lifeline Systems,24/10/2003,592031575,808574707,09/09/2020
Diageo,21/01/2013,86086074,866206294,18/07/2029
Market First,21/02/1995,161108492,444101039,06/01/2022
Synovis Life Technologies,05/12/2009,785202234,454866269,19/01/2030
Tripwire,10/06/1995,662243981,723762923,29/05/2028
Evinco,28/08/1983,289242693,195765286,05/07/2026
Cura Group,30/08/2001,652554000,404196212,04/05/2030
Prometheus Laboratories,22/09/2003,729152844,599268179,26/03/2027
Unilever,03/08/1991,146595737,957826293,02/07/2023
Bigdough.com,21/07/1989,753192616,764884265,08/04/2029
Smartronix,28/03/1998,656310753,843049334,25/09/2026
AOL Time Warner,03/05/2018,891650213,734223642,31/01/2029
Cherokee Information Services,14/01/2006,124571978,802652820,29/11/2027
SHOT,15/10/1985,831933795,412334307,02/06/2030
Saks Inc.,17/09/1988,906991348,102843870,09/04/2027
National Home Health Care,29/01/1999,447620287,481331461,08/03/2026
Great Lakes Media Technology,01/04/1991,479884588,722704513,03/11/2024
Arkidata,27/04/2004,991232068,555918789,16/10/2030
North Coast Energy,20/08/2018,712236349,125890309,03/04/2023
Procurement Centre,07/04/2010,61688944,845846392,13/05/2020
Capital Bank,16/06/2016,609482655,185769705,05/09/2025
CapTech Ventures,17/01/1982,462870489,569353361,08/04/2022
Business Plus Corporation,07/02/1991,341733091,911891103,04/05/2022
Reckitt Benckiser,12/03/1987,610432280,432254446,07/06/2027
GTS Refreshment Services,03/10/2006,829222603,407845686,23/08/2028
AccuCode,27/02/1991,263179619,535804415,29/04/2029
Integrated Decisions and Systems,30/04/2018,270888552,796801296,13/07/2021
Ogio International,14/09/2015,959842166,41755873,07/03/2022
GDA Technologies,11/06/1984,432538713,513928666,24/06/2022
Serentec,03/10/1991,56099365,56694123,04/04/2030
GHR Systems,14/09/1985,677295012,341280949,14/10/2021
General Motors Corp.,29/02/1988,361125651,765250767,28/06/2030
School Technology Management,19/07/2018,542731956,920856872,30/01/2024
Trinity HomeCare,23/12/1988,470086841,670147977,31/07/2026
Linksys,17/09/2012,557115804,646926179,27/01/2028
MedSource Consulting,10/07/2016,301371806,630811651,30/05/2029
FFLC Bancorp,24/06/1995,722318010,432624440,10/12/2028
Marlabs,02/10/2019,630265030,704878646,24/10/2024
Imports By Four Hands,24/01/1999,110152096,192911059,22/02/2027
Kitba Consulting Services,25/07/2002,372602,191026748,18/04/2027
Bristol-Myers Squibb Co.,11/12/2005,219353475,549274549,03/04/2030
Analytical Management Services,25/09/1992,490474828,253672113,17/01/2021
Extra Mile Transportation,08/05/1981,777853505,23208723,09/03/2029
DrinkMore Water,28/03/1983,800293503,837342927,08/06/2024
SupplyCore.com,28/09/1996,351117164,224229068,16/09/2023
ConAgra,25/05/2007,402021075,589409818,27/07/2026
Royal Gold,04/07/1985,408456976,997935283,28/11/2030
GCI,24/09/1992,89832557,933729113,12/09/2024
Mosaic,28/01/1994,874340696,598773950,07/04/2024
Magnet Communications,08/06/1987,454693982,259297217,11/08/2028
Iris Software,25/06/1981,103052764,444280104,06/10/2025
Professional Placement Resources,12/07/2002,721807789,561658122,22/08/2023
Extra Mile Transportation,27/05/2016,174865317,379180232,09/07/2021
Aventis,07/01/2006,547510407,919954310,19/02/2022
Bio-Reference Labs,03/01/2001,626542709,630402451,09/06/2027
PrivateBancorp,08/11/2015,387374569,389325246,23/12/2028
Viacom,18/03/2019,569463971,502988938,02/08/2021
Computer Engineering Organization,02/12/2009,373414807,986842008,19/01/2026
Wendy’s International,16/10/1993,493034767,299136634,08/07/2021
Fiberlink Communications,20/06/2014,183744466,717826512,30/09/2023
Pyramid Digital Solutions,09/08/1981,29854218,598406554,25/02/2022
MindIQ,21/09/2008,603218510,663849522,26/04/2022
Digital Visual Display Technologies,22/10/2011,773651200,793187487,27/05/2028
Auction Systems Auctioneers & Appraisers,06/01/2019,112273664,16130128,07/07/2029
WRG Services,04/01/1999,8720794,421983601,08/01/2023
SafeHome Security,20/11/2011,161571888,851443398,08/06/2028
Mercantile Bank,19/08/1999,557164326,930142113,14/11/2027
Virbac,20/10/1993,263549805,890990038,04/02/2021
Cardinal Cartridge,06/01/2000,765575523,961528077,03/06/2020
In Zone,28/07/2005,301748252,805109485,01/05/2024
Bigdough.com,20/06/2004,220937966,560292614,02/04/2021
Flake-Wilkerson Market Insights,28/08/2000,977006300,878807354,19/02/2029
Hat World,03/07/1986,708445639,148780515,03/04/2028
Sandy Spring Bancorp,22/11/2006,34826614,566926566,27/05/2030
Operational Technologies,02/11/1984,770946855,844723866,03/07/2027
Venoco,03/09/1997,52710910,612753419,05/07/2023
TechRX,04/03/2000,256800640,230638116,23/06/2027
Lynk Systems,12/08/2019,70604896,467511382,12/09/2021
FSF Financial,20/08/2007,838941197,70261934,25/04/2028
Professional Placement Resources,20/05/2016,316178113,526579138,26/10/2027
Summit Energy,27/12/1997,876758684,944166291,13/04/2025
Infinity Software Development,26/08/1991,816053428,401632347,29/11/2027
Sammy's Woodfired Pizza,14/06/1997,886599232,622032126,11/11/2029
Capstone,08/09/2010,749099062,605283749,15/12/2021
Capital Corp.,24/12/2016,204142145,224575938,17/04/2024
Spectrum Communications Cabling Services,20/12/2006,72129539,551939476,29/07/2026
Dell Computer Corp.,21/05/1981,111345366,453884919,15/12/2024
Consultants' Choice,28/10/1996,739484023,530684370,27/02/2024
Palm Beach Tan,20/06/2007,405001947,883329535,23/06/2020
Harrison & Shriftman,12/06/1988,786244602,393100304,26/02/2024
Analytics Operations Engineering,26/08/2012,497945881,454984939,10/10/2029
Cura Group,22/05/1993,763487868,381598338,21/04/2022
Noodles & Co.,14/08/2006,683528147,11701610,22/06/2021
Nu Info Systems,08/07/2010,338353757,588187200,31/01/2026
Portfolio Recovery Associates,23/12/2004,474004480,589938223,20/10/2023
Greyhawk North America,12/12/2006,185014876,679466698,08/08/2020
Colgate-Palmolive Co.,25/12/2003,876359616,854438224,31/07/2025
Vitacost.com,13/09/1991,882426215,667615827,28/04/2022
GCI,20/02/2010,548943993,365556134,02/01/2030
American Pan & Engineering,01/02/2013,525471779,501931376,26/04/2023
Bashen Consulting,09/06/2014,850736267,654089601,26/07/2022
Home Depot,06/03/2008,943349525,40037904,13/10/2025
Cura Group,10/02/2001,61526323,873899905,06/02/2024
CIW Services,06/08/2008,358871251,256536523,09/03/2024
Provident Bancorp,07/05/2012,671734285,692224519,25/07/2027
Telechem International,27/03/1998,925345321,200279142,26/03/2029
Kellogg Co.,04/11/1991,657028548,601370036,26/02/2021
Unicru,09/07/2001,8692111,637560084,29/06/2028
Morgan Stanley Dean Witter & Co.,27/10/2001,57649187,204115331,01/12/2023
MQ Software,26/03/1996,241262402,934501226,25/11/2030
Bluff City Steel,08/03/2018,935968762,108356259,11/01/2020
General Motors Corp.,27/02/2018,631159472,867317285,17/07/2025
Auction Systems Auctioneers & Appraisers,14/02/1984,382508637,601663028,01/07/2023
TALX,03/11/2009,700983206,865876987,02/01/2020
Kmart Corp.,11/10/1987,196040501,924048504,27/12/2029
Morgan Research,18/08/2015,848509344,886642949,05/06/2030
Myricom,11/08/2019,530369002,284119888,02/03/2025
Scott Pipitone Design,27/10/2001,80194614,44852725,23/07/2021
Keller Williams Realty Ahwatukee Foothills,09/03/1991,531933043,913816624,16/01/2026
Access Systems,12/03/2006,302458143,732750144,19/03/2025
Advertising Ventures,02/11/2006,735683064,85648841,06/04/2024
News Corp.,19/10/1997,771464428,99371972,09/05/2023
Key Information Systems,22/01/2011,705416388,942091757,02/06/2028
AQuickDelivery,15/05/2008,251211391,27921429,28/09/2029
HealthScribe,03/11/2014,778499810,496403747,27/11/2020
Vertex Solutions,22/01/1997,187858003,25633654,16/05/2028
Imports By Four Hands,13/06/1982,789208642,819757328,27/04/2020
Advanced Neuromodulation,09/06/1982,428292668,821305121,31/01/2022
Data Company,29/03/1982,952216170,311932634,29/05/2030
Investment Scorecard,29/07/2019,913997666,277962176,12/05/2021
Kellogg Co.,04/06/2014,192241260,298451869,20/11/2023
Ultimus,11/12/2005,717543569,127562515,14/03/2027
Maverick Construction,14/11/2015,178200590,866081167,05/02/2028
Neogen,08/05/1994,980817559,680876131,17/06/2030
TLS Service Bureau,17/01/2010,533221419,208223673,25/07/2030
Gap Inc.,03/11/2015,459437990,379821234,01/02/2021
HealthScribe,22/04/1984,134946690,321690423,09/04/2029
Wendy’s International,13/06/1997,492692092,84641570,27/02/2022
Greenwich Technology Partners,07/03/2006,371860671,189819878,20/04/2023
Imports By Four Hands,30/06/1980,723175829,181396602,04/03/2022
Greenwich Technology Partners,28/01/1983,202504727,284036219,10/06/2028
Strategic Products and Services,06/06/2002,177943165,576270385,03/11/2024
Jolly Enterprises,22/09/2002,598935982,190544260,13/10/2026
Key Information Systems,26/11/1988,485196537,715079554,07/07/2023
DC Group,21/08/1984,237508042,303039647,20/08/2024
Meridian Gold,19/05/1981,902569309,706002456,24/02/2027
Traffic Management,19/07/2011,720492088,774063871,20/02/2028
SmartDraw.com,08/04/2014,53831646,326209211,13/03/2029
TRX,04/06/1989,706269114,498232158,03/12/2029
Heartland Payment Systems,08/05/1993,375587391,764438441,22/04/2025
Network Display,24/12/2019,678026490,355746760,10/06/2023
Execuscribe,20/10/1984,210611865,543106007,21/12/2025
Democracy Data & Communications,18/12/1982,119977146,518707754,04/07/2026
Kia Motors Corp.,24/10/1982,103915661,132611279,01/01/2026
Diamond Technologies,16/08/2019,420796991,35377432,29/08/2022
Pulaski Financial,09/10/2004,82612247,345012742,11/05/2027
Tracer Technologies,23/10/1987,242624608,425062531,20/11/2025
Computer Source,02/04/1980,198455915,378661171,18/04/2026
Integra Telecom,16/01/2012,174614381,461957985,19/01/2026
Cold Stone Creamery,22/01/1998,168545114,864916472,08/10/2024
Yash Technologies,09/02/2001,180360823,211905667,10/05/2029
SmartDraw.com,05/03/2005,516498500,287477256,26/04/2020
InfoPros,17/09/2007,461423934,126781980,20/07/2028
LogistiCare,18/09/1989,422115685,282148610,03/09/2028
Consultants' Choice,28/03/2008,363642464,976172754,15/07/2025
Diageo,12/12/2001,362052751,793994985,24/10/2029
Kellogg Co.,28/11/2018,159576609,557732858,08/05/2025
Speakeasy,22/04/2019,637321196,234509737,01/02/2029
Component Graphics,29/09/1993,641378222,660310277,29/06/2030
Navarro Research and Engineering,07/08/1991,533117425,473486610,21/12/2023
Volkswagen,05/08/1983,355665934,887289657,10/12/2026
Synhrgy HR Technologies,01/08/2012,380456469,32353274,22/12/2029
Mars Inc.,01/09/1980,436905427,251993509,01/07/2029
Pearl Law Group,12/01/2000,208416614,29181885,26/03/2020
Exinom Technologies,18/08/1981,313535477,436614131,26/12/2028
Horizon Organic,22/06/1999,769795185,167262101,14/07/2023
Boldtech Systems,24/12/1984,881454493,47931054,16/06/2022
U.S. Energy Services,21/05/1990,282781206,781843706,16/05/2022
Associated Business Systems,02/07/2000,403718911,182043067,03/05/2029
Kingston,08/02/2015,471638862,488532923,30/04/2026
Dataprise,25/10/1980,791982605,766564531,23/09/2028
Colgate-Palmolive Co.,03/04/1981,684690863,553645481,03/03/2028
Newton Interactive,28/09/1994,585170086,738185719,04/06/2029
Network Display,12/11/1980,261932315,468128080,11/02/2024
Horizon Consulting,18/02/2010,633469799,594869491,04/05/2025
SHOT,04/10/2007,425961914,903616165,16/03/2021
Campbell Soup Co.,07/07/2017,421345198,246867174,30/01/2028
TeleSynthesis,04/09/1997,344184773,687286096,16/12/2027
Technology Resource Center,12/09/1999,861070965,866642881,16/06/2028
ProSys Information Systems,18/08/2006,58823542,756305215,11/04/2024
Portage Environmental,23/10/1989,430976367,564694505,21/05/2023
Volkswagen,17/09/1987,198820724,494091166,01/06/2026
ProSys Information Systems,11/01/2014,840172207,249654640,19/11/2027
MRE Consulting,13/11/2019,879508564,572528443,12/03/2027
Pfizer,20/03/2005,907221267,706328469,25/01/2023
Hospital Solutions,15/06/1995,834674420,42964169,31/01/2026
Vesta,15/02/2009,836346601,434018511,17/06/2029
MicroTek,30/10/1992,849905195,734671125,10/03/2026
Swiss Watch International,14/07/1981,908943216,628309891,04/12/2024
Spectrum Communications Cabling Services,13/03/1982,118335629,872628624,17/03/2024
Diversitech,30/12/2017,253993503,354935061,13/06/2024
Cardtronics,18/08/2000,601601733,718480509,16/12/2022
Montpelier Plastics,14/11/1993,829741278,687475107,22/06/2027
SHOT,23/09/1987,326236888,467735475,24/10/2023
SafeHome Security,06/11/1981,659552015,73120034,18/11/2022
CLT Meetings International,08/06/2011,378188471,801832250,10/04/2025
Procter & Gamble Co.,11/09/1999,629481904,330625701,08/08/2024
Office Depot,30/08/1982,53281836,144951434,15/10/2030
SYS-CON Media,03/04/1998,173461978,237774671,27/10/2028
Baesch Computer Consulting,05/03/2012,753343441,950097743,28/07/2027
Service Link,13/02/2000,547317209,60938496,19/04/2022
Aquascape Designs,07/02/1988,94734762,338980133,31/01/2022
Pinnacle Staffing,11/09/1986,447819183,85942400,01/06/2026
Kia Motors Corp.,27/12/2003,601560286,931822828,13/07/2024
Abatix,20/05/1989,758993418,92083438,25/09/2020
Southern Homes and Remodeling,28/06/1998,781243475,343250405,08/09/2029
Gillani,30/03/2004,397691708,994810563,10/12/2029
Provident Bancorp,19/10/2011,451238750,329846000,02/09/2021
USA Instruments,04/07/1988,62862342,808694394,30/06/2025
Oakleaf Waste Management,31/05/1980,923523298,179873892,24/11/2021
CapTech Ventures,25/01/1984,630361444,456861563,28/03/2029
Staff Force,08/10/2011,237650539,616600485,15/10/2030
Data Warehouse,26/06/2000,919199376,280967454,20/10/2025
Diamond Pharmacy Services,22/04/2013,241489730,150006408,08/04/2023
Gentra Systems,22/10/2010,452621008,19105608,29/01/2025
Team,24/10/1993,513636809,612065632,11/05/2025
Wells Financial,03/12/2019,87588923,953516155,05/04/2026
Investment Scorecard,27/05/1985,148437791,923246053,28/07/2030
FNB,18/05/2019,716430290,50712564,29/07/2021
Glacier Bancorp,31/03/1999,246944589,644134709,25/08/2024
State Farm Mutual Automobile Insur,23/11/2008,39711146,889839201,07/07/2027
Ositis Software,13/08/2005,76989641,243635842,18/08/2028
Zaiq Technologies,10/06/2017,834445053,977240586,10/09/2023
esoftsolutions,18/03/2000,939779069,622334103,01/06/2021
Arrow Financial Services,15/01/1988,887593647,504836598,06/12/2023
Alden Systems,09/09/2011,855263285,194165073,26/06/2025
Investors Title,21/01/1991,153684209,898964979,06/07/2020
Gray Hawk Systems,11/10/1981,474373749,941772821,26/07/2030
Partnership in Building,15/01/2011,387617530,944033433,02/07/2024
WRG Services,17/02/2010,185295184,847537161,13/04/2023
Vitacost.com,02/06/2005,393288843,765939091,13/09/2021
Telwares Communications,05/11/1984,774396865,678901227,16/05/2030
Yum Brands,19/09/1982,51011093,556399026,26/11/2025
Labrada Nutrition,01/12/1987,123765102,50183043,03/09/2020
IVCi,31/03/1982,918721893,415840948,29/06/2027
Stone Brewing,08/04/2006,674545359,225185871,13/08/2024
PepsiCo,24/05/2015,283003382,382514205,04/09/2030
Keller Williams Realty Ahwatukee Foothills,24/07/2003,641084685,116327675,06/08/2026
Synovis Life Technologies,24/09/2005,313258957,230935006,07/09/2020
Portosan,04/06/1983,255574233,625664991,04/12/2023
Merit Medical Systems,13/02/2014,940701018,733866285,06/08/2030
esoftsolutions,31/10/1991,198377083,972680139,12/02/2024
Safeway,18/07/1999,985478707,474876655,24/08/2027
Bigdough.com,02/05/1992,291689426,645020915,05/04/2030
Cardtronics,09/03/2000,377304914,218433311,15/04/2027
Learning Voyage,15/06/2018,50382166,538657595,27/11/2029
Marlabs,30/07/2012,714161971,122124648,05/10/2023
Woronoco Bancorp,14/01/1986,134007021,725066450,16/03/2026
ScripNet,09/09/2007,517381716,428824319,09/07/2021
Linac Systems,15/08/1999,731405284,327905608,14/09/2020
Floorgraphics,13/09/2008,250465024,551281164,02/01/2024
Sensor Technologies,17/09/2010,432204320,546656080,10/05/2029
Tigris Consulting,14/11/2006,250422762,28468573,15/08/2021
Staff Force,26/11/2003,692925808,359337234,26/04/2021
Heritage Microfilm,04/05/2009,119519774,667267817,01/10/2026
Limited Brands,28/05/1994,588851765,945896468,25/08/2028
Navigator Systems,10/06/2011,87648933,441992865,12/02/2021
Accuship,31/07/1983,790971687,976022189,14/05/2027
Benecon Group,14/08/1987,429778615,312099104,26/03/2020
Studio B Productions,21/01/1984,536846958,29427193,13/05/2020
Heritage Microfilm,23/05/1985,113355888,178540207,10/11/2024
Peerless Manufacturing,24/12/2013,874997250,225664273,10/05/2023
Computer Engineering Organization,28/03/1982,928989756,930773067,31/10/2020
Texas Residential Mortgage,29/03/2017,736218258,361908900,05/01/2021
Networking Technologies and Support,28/02/2014,815765001,880953935,17/03/2023
Aquascape Designs,07/01/1991,118364520,614882290,08/02/2029
SupplyCore.com,02/02/1991,87740465,850418129,29/09/2030
Navigator Systems,01/09/1992,626283244,155108844,29/06/2021
Philip Morris Cos.,23/02/1989,498587202,374101179,31/03/2027
Capital Crossing Bank,02/03/1990,608594572,470893390,30/01/2025
Technology and Management Associates,24/07/2000,207530746,238739002,27/05/2026
Trinity HomeCare,28/03/1995,200113301,296190257,12/12/2027
Alternative Technology,05/08/2002,747005258,734190622,01/05/2020
Great Lakes Media Technology,20/04/2012,523634627,113514191,20/11/2023
Alternative Business Systems,02/03/2011,512532661,909474677,30/12/2021
Bashen Consulting,22/11/1986,852019251,417199088,25/04/2024
Sunstream,02/02/1987,561998032,598009499,12/11/2023
GCI,21/10/1989,295845173,379205927,05/07/2020
Lifeline Systems,24/09/1994,521439138,991877450,15/07/2030
Laboratory Management Systems,22/06/2007,760105222,957462485,16/08/2024
FFLC Bancorp,28/09/1995,343489500,909465742,17/10/2030
Vertex Solutions,28/11/1988,441347739,747778941,23/05/2024
Pan-Pacific Retail Properties,13/12/2010,425658699,583732514,25/01/2027
Flake-Wilkerson Market Insights,10/03/2009,76029670,530226541,17/03/2024
First South Bancorp,09/09/2001,104088652,834581297,23/10/2022
TruSecure,09/02/1998,920835190,581789441,13/08/2022
PepsiCo,06/11/1990,820344277,261943250,28/04/2028
Loss Mitigation Services,04/02/2003,842492575,80139784,24/03/2025
Unilever,06/08/1993,896038844,788962317,11/04/2028
Flake-Wilkerson Market Insights,15/01/1989,76883913,53379661,23/06/2021
Infinity Software Development,27/07/1990,836748977,100924711,17/09/2025
Prosperity Bancshares,03/12/1994,123640935,152825930,25/08/2026
Evergreen Resources,21/01/2003,548906035,192207696,03/08/2024
MedSource Consulting,07/12/1988,206910800,188834434,13/09/2024
LogistiCare,21/10/2012,945784170,988165686,01/06/2020
MRE Consulting,12/04/1989,1310504,587897235,05/05/2030
MRE Consulting,18/04/1987,249599266,238672858,09/01/2026
Analytical Management Services,08/11/2012,129067348,297773480,22/11/2029
Neogen,11/06/1985,335965559,825094797,19/07/2027
Visa International,22/01/1997,142061143,366732983,23/11/2028
Genghis Grill,11/08/1992,194519222,654469321,09/02/2025
InfoPros,27/10/2000,633054185,553193619,01/02/2027
SourceGear,03/09/1997,36384147,913158816,03/08/2023
Spinnaker Exploration,17/08/2014,470621673,284116864,15/06/2024
Visa International,15/03/1997,412136852,405252955,01/12/2025
SSCI,30/05/1998,173002262,373839118,21/11/2021
American Vanguard,18/11/2004,721925628,375378491,15/08/2027
Advertising Ventures,22/11/1991,515776803,132313058,10/01/2024
Megha Systems,29/06/2000,207034653,322690038,20/04/2027
Telechem International,25/09/1986,801431881,262532811,15/12/2027
Advanced Neuromodulation,29/05/1993,324204032,941384937,30/09/2023
Associated Business Systems,08/04/2013,754574556,658521299,02/06/2021
Quality Assured Services,02/02/2008,719511858,847024529,22/10/2029
Bashen Consulting,02/12/1988,522929265,777842048,12/05/2029
Columbia Bancorp,12/05/1986,81438697,962693653,20/04/2024
Genex Technologies,12/03/2005,872318319,534837300,28/09/2028
Parker Compound Bows,02/07/2015,128432502,155326639,08/11/2024
HealthCare Financial Group,08/01/1986,367810420,632724150,26/05/2022
Integrity Staffing Solutions,21/02/2010,552863991,601814791,07/02/2020
All Star Consulting,23/08/1997,767470976,837053039,14/06/2021
Lifeline Systems,28/03/1986,443914490,121964427,05/02/2027
Dankoff Solar Products,17/02/1997,843472348,354376874,16/06/2027
Invision.com,23/05/1995,822448191,52023890,22/03/2021
Phoenix Rehabilitation and Health Services,11/08/2014,574731339,446582273,27/12/2025
Clorox Co.,20/04/1993,265904614,88590834,13/11/2026
Palm Beach Tan,05/09/2017,98924309,418269111,23/03/2026
Bioanalytical Systems,28/04/1999,836071408,940041187,21/04/2029
Cascade Bancorp,19/04/1980,772074827,856233595,28/03/2024
Brandt Information Services,07/01/2007,351675299,168192646,06/12/2020
Fiberlink Communications,26/03/1986,950891582,899601515,08/03/2028
Heritage Microfilm,22/10/2000,524906467,144236252,12/12/2026
Linksys,02/12/2004,822002798,376035865,15/07/2022
Digital Visual Display Technologies,04/07/2007,782174971,133146761,26/07/2021
Iris Software,01/03/2006,501210859,670550973,25/07/2027
DrinkMore Water,03/11/1993,141191472,640724453,03/04/2030
Sweet Productions,16/04/2007,27818141,849562594,26/02/2026
Atlantic Credit & Finance,12/04/2014,820401646,415916965,13/06/2028
STI Knowledge,24/05/2017,319131636,92304068,18/05/2030
Gillani,26/06/1996,176796785,622871993,15/08/2022
Tropical Oasis,30/05/2017,312186689,600853021,14/09/2030
