projectName,startDate,CID,PID
chocolate,20/07/2007,206701288,687286096
photo,21/07/2007,344594417,866642881
artisan,22/07/2007,623523821,756305215
lab,23/07/2007,179034020,564694505
clothes,24/07/2007,118166746,494091166
ambition,25/07/2007,263870401,249654640
wood,26/07/2007,307652215,572528443
thought,27/07/2007,397884849,706328469
bonus,28/07/2007,927627731,42964169
awareness,29/07/2007,713402654,434018511
signature,30/07/2007,129198085,734671125
menu,31/07/2007,998586926,628309891
classroom,01/08/2007,238361635,872628624
family,02/08/2007,331196517,354935061
reception,03/08/2007,823113981,718480509
judgment,04/08/2007,503267361,687475107
town,05/08/2007,318616057,467735475
child,06/08/2007,145155939,73120034
session,07/08/2007,716959073,801832250
steak,08/08/2007,595337786,330625701
shirt,09/08/2007,906327556,144951434
video,10/08/2007,879250622,237774671
extent,11/08/2007,328745009,950097743
recipe,12/08/2007,942760514,60938496
dinner,13/08/2007,68829037,338980133
tea,14/08/2007,790491367,85942400
contract,15/08/2007,917489689,931822828
student,16/08/2007,329358209,92083438
heart,17/08/2007,1484838,343250405
potato,18/08/2007,831136869,994810563
topic,19/08/2007,414887697,329846000
math,20/08/2007,135092364,808694394
poetry,21/08/2007,199291546,179873892
studio,22/08/2007,665851092,456861563
internet,23/08/2007,534366762,616600485
guitar,24/08/2007,328387155,280967454
dealer,25/08/2007,889617250,150006408
storage,26/08/2007,922388519,19105608
media,27/08/2007,261771346,612065632
language,28/08/2007,721475304,953516155
ad,29/08/2007,669424353,923246053
mixture,30/08/2007,108634512,50712564
reading,31/08/2007,733874802,644134709
engine,01/09/2007,367589971,889839201
newspaper,02/09/2007,657022520,243635842
bread,03/09/2007,521082400,977240586
breath,04/09/2007,470579967,622334103
dirt,05/09/2007,803212276,504836598
flight,06/09/2007,83019693,194165073
lake,07/09/2007,398973892,898964979
virus,08/09/2007,268529900,941772821
passenger,09/09/2007,100158818,944033433
speech,10/09/2007,821692,847537161
person,11/09/2007,360117917,765939091
sir,12/09/2007,595206199,678901227
artisan,13/09/2007,52133025,556399026
historian,14/09/2007,704395850,50183043
cheek,15/09/2007,83485251,415840948
basket,16/09/2007,375775730,225185871
user,17/09/2007,376959345,382514205
manager,18/09/2007,417006924,116327675
movie,19/09/2007,482642071,230935006
tea,20/09/2007,176272329,625664991
blood,21/09/2007,805621422,733866285
variation,22/09/2007,915270313,972680139
priority,23/09/2007,841549068,474876655
poem,24/09/2007,747973374,645020915
chocolate,25/09/2007,586347978,218433311
republic,26/09/2007,667817903,538657595
election,27/09/2007,475079556,122124648
emphasis,28/09/2007,2958778,725066450
writer,29/09/2007,444602742,428824319
fishing,30/09/2007,251777025,327905608
grocery,01/10/2007,82367719,551281164
employer,02/10/2007,791874258,546656080
driver,03/10/2007,840182659,28468573
guidance,04/10/2007,23364993,359337234
finding,05/10/2007,902289636,667267817
lake,06/10/2007,251486233,945896468
mall,07/10/2007,784156017,441992865
dinner,08/10/2007,140691717,976022189
ability,09/10/2007,370440483,312099104
art,10/10/2007,46990634,29427193
ad,11/10/2007,16774262,178540207
depth,12/10/2007,324249056,225664273
strategy,13/10/2007,963551477,930773067
accident,14/10/2007,676978173,361908900
society,15/10/2007,215430511,880953935
people,16/10/2007,718141373,614882290
tooth,17/10/2007,901649005,850418129
basis,18/10/2007,735704411,155108844
pizza,19/10/2007,592522623,374101179
person,20/10/2007,2230684,470893390
statement,21/10/2007,708142454,238739002
chemistry,22/10/2007,515509270,296190257
child,23/10/2007,551147260,734190622
death,24/10/2007,96515205,113514191
history,25/10/2007,971527654,909474677
airport,26/10/2007,20251323,417199088
homework,27/10/2007,284545031,598009499
soup,28/10/2007,206701288,379205927
language,29/10/2007,344594417,991877450
country,30/10/2007,623523821,957462485
client,31/10/2007,179034020,909465742
internet,01/11/2007,118166746,747778941
volume,02/11/2007,263870401,583732514
user,03/11/2007,307652215,530226541
attention,04/11/2007,397884849,834581297
procedure,05/11/2007,927627731,581789441
funeral,06/11/2007,713402654,261943250
injury,07/11/2007,129198085,80139784
judgment,08/11/2007,998586926,788962317
oven,09/11/2007,238361635,53379661
story,10/11/2007,331196517,100924711
republic,11/11/2007,823113981,152825930
emotion,12/11/2007,503267361,192207696
theory,13/11/2007,318616057,188834434
area,14/11/2007,145155939,988165686
drama,15/11/2007,716959073,587897235
scene,16/11/2007,595337786,238672858
cigarette,17/11/2007,906327556,297773480
device,18/11/2007,879250622,825094797
activity,19/11/2007,328745009,366732983
freedom,20/11/2007,942760514,654469321
hospital,21/11/2007,68829037,553193619
presence,22/11/2007,790491367,913158816
orange,23/11/2007,917489689,284116864
anxiety,24/11/2007,329358209,405252955
lake,25/11/2007,1484838,373839118
alcohol,26/11/2007,831136869,375378491
church,27/11/2007,414887697,132313058
hair,28/11/2007,135092364,322690038
fact,29/11/2007,199291546,262532811
newspaper,30/11/2007,665851092,941384937
actor,01/12/2007,534366762,658521299
attention,02/12/2007,328387155,847024529
goal,03/12/2007,889617250,777842048
truth,04/12/2007,922388519,962693653
leader,05/12/2007,261771346,534837300
event,06/12/2007,721475304,155326639
growth,07/12/2007,669424353,632724150
location,08/12/2007,108634512,601814791
driver,09/12/2007,733874802,837053039
bedroom,10/12/2007,367589971,121964427
hall,11/12/2007,657022520,354376874
reality,12/12/2007,521082400,52023890
attitude,13/12/2007,470579967,446582273
affair,14/12/2007,803212276,88590834
pie,15/12/2007,83019693,418269111
solution,16/12/2007,398973892,940041187
database,17/12/2007,268529900,856233595
message,18/12/2007,100158818,168192646
menu,19/12/2007,821692,899601515
airport,20/12/2007,360117917,144236252
throat,21/12/2007,595206199,376035865
fishing,22/12/2007,52133025,133146761
passenger,23/12/2007,704395850,670550973
guest,24/12/2007,83485251,640724453
promotion,25/12/2007,375775730,849562594
idea,26/12/2007,376959345,415916965
owner,27/12/2007,417006924,92304068
recipe,28/12/2007,482642071,622871993
economics,29/12/2007,176272329,600853021
guest,30/12/2007,805621422,250211156
courage,31/12/2007,915270313,617701920
driver,01/01/2008,841549068,97771154
device,02/01/2008,747973374,296392332
aspect,03/01/2008,586347978,401799586
inspector,04/01/2008,667817903,966454996
trainer,05/01/2008,475079556,327347196
strategy,06/01/2008,2958778,616070170
agency,07/01/2008,444602742,583694013
dealer,08/01/2008,251777025,132745983
love,09/01/2008,82367719,501525997
length,10/01/2008,791874258,972888092
article,11/01/2008,840182659,307622729
writer,12/01/2008,23364993,125674943
apple,13/01/2008,902289636,855050561
employer,14/01/2008,251486233,59125546
emphasis,15/01/2008,784156017,898809292
storage,16/01/2008,140691717,327546199
message,17/01/2008,370440483,23294794
reception,18/01/2008,46990634,668930577
chemistry,19/01/2008,16774262,729849018
fortune,20/01/2008,324249056,25620964
tongue,21/01/2008,963551477,108444005
arrival,22/01/2008,676978173,454029220
historian,23/01/2008,215430511,133590367
queen,24/01/2008,718141373,897039576
editor,25/01/2008,901649005,960326012
church,26/01/2008,735704411,858125274
height,27/01/2008,592522623,52974944
passenger,28/01/2008,2230684,211779810
night,29/01/2008,708142454,267304362
way,30/01/2008,515509270,853437224
basis,31/01/2008,551147260,640064053
system,01/02/2008,96515205,462059901
inflation,02/02/2008,971527654,183967477
road,03/02/2008,20251323,134079654
marketing,04/02/2008,284545031,494159444
chocolate,05/02/2008,206701288,189726594
photo,06/02/2008,344594417,741100114
artisan,07/02/2008,623523821,269223061
lab,08/02/2008,179034020,180665636
clothes,09/02/2008,118166746,808870802
ambition,10/02/2008,263870401,917332141
wood,11/02/2008,307652215,120417325
thought,12/02/2008,397884849,477188110
bonus,13/02/2008,927627731,987925842
awareness,14/02/2008,713402654,416172121
signature,15/02/2008,129198085,875959214
menu,16/02/2008,998586926,592961756
classroom,17/02/2008,238361635,986270470
family,18/02/2008,331196517,888696741
reception,19/02/2008,823113981,325705416
judgment,20/02/2008,503267361,600782504
town,21/02/2008,318616057,282097062
child,22/02/2008,145155939,774086435
session,23/02/2008,716959073,522185691
steak,24/02/2008,595337786,347648576
shirt,25/02/2008,906327556,117512855
video,26/02/2008,879250622,232924497
extent,27/02/2008,328745009,710133575
recipe,28/02/2008,942760514,350823201
dinner,29/02/2008,68829037,52541887
tea,01/03/2008,790491367,39272940
contract,02/03/2008,917489689,21280894
student,03/03/2008,329358209,854884438
heart,04/03/2008,1484838,327344240
potato,05/03/2008,831136869,790055967
topic,06/03/2008,414887697,650562855
math,07/03/2008,135092364,353867185
poetry,08/03/2008,199291546,493016893
studio,09/03/2008,665851092,430121951
internet,10/03/2008,534366762,346382766
guitar,11/03/2008,328387155,437945349
dealer,12/03/2008,889617250,77607930
storage,13/03/2008,922388519,78925610
media,14/03/2008,261771346,990747210
language,15/03/2008,721475304,350751465
ad,16/03/2008,669424353,655798691
mixture,17/03/2008,108634512,499473790
reading,18/03/2008,733874802,129574375
engine,19/03/2008,367589971,278502912
newspaper,20/03/2008,657022520,241062010
bread,21/03/2008,521082400,853032949
breath,22/03/2008,470579967,673365080
dirt,23/03/2008,803212276,845284837
flight,24/03/2008,83019693,966928807
lake,25/03/2008,398973892,592948603
virus,26/03/2008,268529900,941593267
passenger,27/03/2008,100158818,748938177
speech,28/03/2008,821692,513499126
person,29/03/2008,360117917,720639307
sir,30/03/2008,595206199,392066318
artisan,31/03/2008,52133025,288191471
historian,01/04/2008,704395850,206733925
cheek,02/04/2008,83485251,591541005
basket,03/04/2008,375775730,233163179
user,04/04/2008,376959345,339983541
manager,05/04/2008,417006924,223906447
movie,06/04/2008,482642071,274549795
tea,07/04/2008,176272329,397044830
blood,08/04/2008,805621422,97369043
variation,09/04/2008,915270313,890443654
priority,10/04/2008,841549068,311492450
poem,11/04/2008,747973374,106008416
chocolate,12/04/2008,586347978,818835416
republic,13/04/2008,667817903,490931369
election,14/04/2008,475079556,107161220
emphasis,15/04/2008,2958778,710090976
writer,16/04/2008,444602742,626710305
fishing,17/04/2008,251777025,700916440
grocery,18/04/2008,82367719,373873690
employer,19/04/2008,791874258,254197058
driver,20/04/2008,840182659,429273144
guidance,21/04/2008,23364993,339407129
finding,22/04/2008,902289636,54079525
lake,23/04/2008,251486233,361372794
mall,24/04/2008,784156017,210588772
dinner,25/04/2008,140691717,350091769
ability,26/04/2008,370440483,861189292
art,27/04/2008,46990634,919604027
ad,28/04/2008,16774262,631703633
depth,29/04/2008,324249056,969388576
strategy,30/04/2008,963551477,999293606
accident,01/05/2008,676978173,335139044
society,02/05/2008,215430511,273977421
people,03/05/2008,718141373,368987767
tooth,04/05/2008,901649005,118391680
basis,05/05/2008,735704411,594357587
pizza,06/05/2008,592522623,666476890
person,07/05/2008,2230684,631680873
statement,08/05/2008,708142454,877119214
chemistry,09/05/2008,515509270,649909908
child,10/05/2008,551147260,108831414
death,11/05/2008,96515205,273171983
history,12/05/2008,971527654,246390092
airport,13/05/2008,20251323,31876445
homework,14/05/2008,284545031,877866178
soup,15/05/2008,206701288,271734555
language,16/05/2008,344594417,441401177
country,17/05/2008,623523821,87661096
client,18/05/2008,179034020,297831334
internet,19/05/2008,118166746,601851598
volume,20/05/2008,263870401,941531217
user,21/05/2008,307652215,86145867
attention,22/05/2008,397884849,792939540
procedure,23/05/2008,927627731,90670000
funeral,24/05/2008,713402654,33100565
injury,25/05/2008,129198085,692236333
judgment,26/05/2008,998586926,20648257
oven,27/05/2008,238361635,322267262
story,28/05/2008,331196517,816088842
republic,29/05/2008,823113981,860601906
emotion,30/05/2008,503267361,395678803
theory,31/05/2008,318616057,539635014
area,01/06/2008,145155939,513407100
drama,02/06/2008,716959073,936262282
scene,03/06/2008,595337786,932467806
cigarette,04/06/2008,906327556,175549087
device,05/06/2008,879250622,118377550
activity,06/06/2008,328745009,548405914
freedom,07/06/2008,942760514,845098308
hospital,08/06/2008,68829037,863607029
presence,09/06/2008,790491367,362287775
orange,10/06/2008,917489689,92792995
anxiety,11/06/2008,329358209,556824528
lake,12/06/2008,1484838,724304008
alcohol,13/06/2008,831136869,196017302
church,14/06/2008,414887697,202807982
hair,15/06/2008,135092364,843448049
fact,16/06/2008,199291546,170591980
newspaper,17/06/2008,665851092,161975458
actor,18/06/2008,534366762,892132750
attention,19/06/2008,328387155,939372566
goal,20/06/2008,889617250,353365463
truth,21/06/2008,922388519,338160067
leader,22/06/2008,261771346,124759092
event,23/06/2008,721475304,771630836
growth,24/06/2008,669424353,562287967
location,25/06/2008,108634512,906240662
driver,26/06/2008,733874802,997151998
bedroom,27/06/2008,367589971,656277316
hall,28/06/2008,657022520,325131945
reality,29/06/2008,521082400,145613399
attitude,30/06/2008,470579967,969666205
affair,01/07/2008,803212276,231985979
pie,02/07/2008,83019693,162128435
solution,03/07/2008,398973892,595718605
database,04/07/2008,268529900,987622250
message,05/07/2008,100158818,785916498
menu,06/07/2008,821692,44101977
airport,07/07/2008,360117917,847243152
throat,08/07/2008,595206199,349376158
fishing,09/07/2008,52133025,891574076
passenger,10/07/2008,704395850,979683658
guest,11/07/2008,83485251,679507636
promotion,12/07/2008,375775730,873134105
idea,13/07/2008,376959345,731767453
owner,14/07/2008,417006924,984048940
recipe,15/07/2008,482642071,603727172
economics,16/07/2008,176272329,912714638
guest,17/07/2008,805621422,811209918
courage,18/07/2008,915270313,750447190
driver,19/07/2008,841549068,230583247
device,20/07/2008,747973374,201292335
aspect,21/07/2008,586347978,330969752
inspector,22/07/2008,667817903,474541518
trainer,23/07/2008,475079556,587127977
strategy,24/07/2008,2958778,179540554
agency,25/07/2008,444602742,62139612
dealer,26/07/2008,251777025,777536910
love,27/07/2008,82367719,935671742
length,28/07/2008,791874258,727021963
article,29/07/2008,840182659,275533014
writer,30/07/2008,23364993,281212591
apple,31/07/2008,902289636,845131196
employer,01/08/2008,251486233,79164213
emphasis,02/08/2008,784156017,742373336
storage,03/08/2008,140691717,489635094
message,04/08/2008,370440483,877854655
reception,05/08/2008,46990634,471893035
chemistry,06/08/2008,16774262,599774096
fortune,07/08/2008,324249056,278671483
tongue,08/08/2008,963551477,591299830
arrival,09/08/2008,676978173,481800877
historian,10/08/2008,215430511,924068536
queen,11/08/2008,718141373,587737426
editor,12/08/2008,901649005,496737561
church,13/08/2008,735704411,21667846
height,14/08/2008,592522623,434890854
passenger,15/08/2008,2230684,907960631
night,16/08/2008,708142454,373643229
way,17/08/2008,515509270,194165629
basis,18/08/2008,551147260,286992200
system,19/08/2008,96515205,531605647
inflation,20/08/2008,971527654,36208429
road,21/08/2008,20251323,861549283
marketing,22/08/2008,284545031,704108423
chocolate,23/08/2008,206701288,457410910
photo,24/08/2008,344594417,622680990
artisan,25/08/2008,623523821,30305506
lab,26/08/2008,179034020,76917337
clothes,27/08/2008,118166746,752710888
ambition,28/08/2008,263870401,391117620
wood,29/08/2008,307652215,632846032
thought,30/08/2008,397884849,158481437
bonus,31/08/2008,927627731,647315520
awareness,01/09/2008,713402654,144356261
signature,02/09/2008,129198085,158708728
menu,03/09/2008,998586926,288220428
classroom,04/09/2008,238361635,900061514
family,05/09/2008,331196517,307334501
reception,06/09/2008,823113981,437131611
judgment,07/09/2008,503267361,615667632
town,08/09/2008,318616057,440658687
child,09/09/2008,145155939,194870662
session,10/09/2008,716959073,667607732
steak,11/09/2008,595337786,105828483
shirt,12/09/2008,906327556,260750554
video,13/09/2008,879250622,531834985
extent,14/09/2008,328745009,18028558
recipe,15/09/2008,942760514,200673047
dinner,16/09/2008,68829037,577689171
tea,17/09/2008,790491367,350635608
contract,18/09/2008,917489689,547836865
student,19/09/2008,329358209,968889390
heart,20/09/2008,1484838,706686200
potato,21/09/2008,831136869,998310132
topic,22/09/2008,414887697,480639241
math,23/09/2008,135092364,747137860
poetry,24/09/2008,199291546,696240044
studio,25/09/2008,665851092,795358339
internet,26/09/2008,534366762,252376364
guitar,27/09/2008,328387155,265952862
dealer,28/09/2008,889617250,346064957
storage,29/09/2008,922388519,541579777
media,30/09/2008,261771346,747606260
language,01/10/2008,721475304,524136448
ad,02/10/2008,669424353,251658575
mixture,03/10/2008,108634512,775412687
reading,04/10/2008,733874802,452645914
engine,05/10/2008,367589971,371798912
newspaper,06/10/2008,657022520,611732897
bread,07/10/2008,521082400,666364130
breath,08/10/2008,470579967,983818875
dirt,09/10/2008,803212276,791921042
flight,10/10/2008,83019693,995379942
lake,11/10/2008,398973892,711591195
virus,12/10/2008,268529900,305520983
passenger,13/10/2008,100158818,704083008
speech,14/10/2008,821692,245653241
person,15/10/2008,360117917,61751499
sir,16/10/2008,595206199,999564232
artisan,17/10/2008,52133025,86827714
historian,18/10/2008,704395850,829473645
cheek,19/10/2008,83485251,559424786
basket,20/10/2008,375775730,702873169
user,21/10/2008,376959345,952126934
manager,22/10/2008,417006924,405878006
movie,23/10/2008,482642071,181227171
tea,24/10/2008,176272329,559360478
blood,25/10/2008,805621422,832516150
variation,26/10/2008,915270313,860918982
priority,27/10/2008,841549068,958124306
poem,28/10/2008,747973374,228876078
chocolate,29/10/2008,586347978,344794881
republic,30/10/2008,667817903,330745962
election,31/10/2008,475079556,753627383
emphasis,01/11/2008,2958778,331656752
writer,02/11/2008,444602742,921597274
fishing,03/11/2008,251777025,603046763
grocery,04/11/2008,82367719,409017855
employer,05/11/2008,791874258,187359292
driver,06/11/2008,840182659,762996523
guidance,07/11/2008,23364993,762989335
finding,08/11/2008,902289636,800722935
lake,09/11/2008,251486233,509051963
mall,10/11/2008,784156017,648423059
